iso3,year,isscaap_group,value
ALB,2011,"Squids, cuttlefishes, octopuses",255
ALB,2011,"Tunas, bonitos, billfishes",32
ALB,2012,"Clams, cockles, arkshells",1
ALB,2012,"Cods, hakes, haddocks",901
ALB,2012,Corals,1.2
ALB,2012,"Flounders, halibuts, soles",116
ALB,2012,"Herrings, sardines, anchovies",2918
ALB,2012,"Lobsters, spiny-rock lobsters",435
ALB,2012,Marine fishes not identified,316
ALB,2012,Miscellaneous coastal fishes,706
ALB,2012,Miscellaneous demersal fishes,42
ALB,2012,Miscellaneous pelagic fishes,111
ALB,2012,Mussels,0
ALB,2012,"Sharks, rays, chimaeras",39
ALB,2012,"Shrimps, prawns",1189
ALB,2012,"Squids, cuttlefishes, octopuses",321
ALB,2012,"Tunas, bonitos, billfishes",14
ALB,2013,"Clams, cockles, arkshells",1
ALB,2013,"Cods, hakes, haddocks",852
ALB,2013,Corals,1.5
ALB,2013,"Flounders, halibuts, soles",96
ALB,2013,"Herrings, sardines, anchovies",3093
ALB,2013,"Lobsters, spiny-rock lobsters",398
ALB,2013,Marine fishes not identified,430
ALB,2013,Miscellaneous coastal fishes,710
ALB,2013,Miscellaneous demersal fishes,36
ALB,2013,Miscellaneous pelagic fishes,138
ALB,2013,Mussels,0
ALB,2013,"Sharks, rays, chimaeras",43
ALB,2013,"Shrimps, prawns",1234
ALB,2013,"Squids, cuttlefishes, octopuses",347
ALB,2013,"Tunas, bonitos, billfishes",25
ALB,2014,"Clams, cockles, arkshells",1
ALB,2014,"Cods, hakes, haddocks",904
ALB,2014,Corals,1.5
ALB,2014,"Flounders, halibuts, soles",79
ALB,2014,"Herrings, sardines, anchovies",2369
ALB,2014,"Lobsters, spiny-rock lobsters",400
ALB,2014,Marine fishes not identified,520
ALB,2014,Miscellaneous coastal fishes,686
ALB,2014,Miscellaneous demersal fishes,41
ALB,2014,Miscellaneous pelagic fishes,139
ALB,2014,Mussels,0
ALB,2014,"Sharks, rays, chimaeras",39
ALB,2014,"Shrimps, prawns",1463
ALB,2014,"Squids, cuttlefishes, octopuses",353
ALB,2014,"Tunas, bonitos, billfishes",48
ALB,2015,"Clams, cockles, arkshells",1
ALB,2015,"Cods, hakes, haddocks",916
ALB,2015,Corals,1.5
ALB,2015,"Flounders, halibuts, soles",107
ALB,2015,"Herrings, sardines, anchovies",1469
ALB,2015,"Lobsters, spiny-rock lobsters",405
ALB,2015,Marine fishes not identified,348
ALB,2015,Miscellaneous coastal fishes,780
ALB,2015,Miscellaneous demersal fishes,59
ALB,2015,Miscellaneous pelagic fishes,178
ALB,2015,Mussels,0
