iso3,year,value,variable,units,source
MEX,2012,210247,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MMR,2012,2979200,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MOZ,2012,180073,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MYS,2012,136514,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NAM,2012,25690,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NGA,2012,1884139,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NLD,2012,2791,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NOR,2012,12048,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NZL,2012,1432,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
OMN,2012,43225,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PAK,2012,366877,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
POL,2012,4331,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
RUS,2012,137000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SWE,2012,1638,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TUR,2012,41054,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TWN,2012,238401,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TZA,2012,184111,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
UGA,2012,109633,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
USA,2012,175565,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
VEN,2012,72404,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
VNM,2012,530000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ARG,2013,20884,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
BGD,2013,1538539,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CAN,2013,45114,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHL,2013,91395,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHN,2013,9238837,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CMR,2013,240728,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DEU,2013,2569,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DNK,2013,1891,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EGY,2013,37300,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ESP,2013,33129,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EU,2013,81444,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRA,2013,13609,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRO,2013,1585,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GBR,2013,12235,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GRL,2013,3400,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IDN,2013,2640095,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IND,2013,9790197,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRL,2013,4579,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRN,2013,151866,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ISL,2013,5000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
JPN,2013,180985,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
KOR,2013,106356,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
LKA,2013,250865,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MAR,2013,103453,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MEX,2013,216267,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MMR,2013,2980000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MOZ,2013,201854,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MYS,2013,144019,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NAM,2013,14823,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NGA,2013,1643226,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NLD,2013,2695,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NOR,2013,11611,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NZL,2013,1378,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
OMN,2013,45224,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PAK,2013,378283,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
POL,2013,4203,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
RUS,2013,137000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SEN,2013,62442,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SWE,2013,1549,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TUR,2013,37499,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TWN,2013,285063,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TZA,2013,184300,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
UGA,2013,111069,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
USA,2013,198647,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
VEN,2013,62069,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ARG,2014,28212,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
BGD,2014,1712000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CAN,2014,43562,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHL,2014,91632,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHN,2014,9165990,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CMR,2014,240728,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
COD,2014,440088,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DEU,2014,2469,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DNK,2014,1896,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EGY,2014,36300,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ESP,2014,33121,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EU,2014,81851,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRA,2014,13547,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRO,2014,1585,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GBR,2014,11845,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GRL,2014,3500,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IDN,2014,2667440,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRL,2014,2461,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRN,2014,149062,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ISL,2014,4500,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
JPN,2014,173040,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
KOR,2014,103353,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
LKA,2014,276537,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MAR,2014,109564,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MEX,2014,214669,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MMR,2014,2981000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MYS,2014,143421,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NAM,2014,16376,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NGA,2014,1477651,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NLD,2014,2610,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NOR,2014,11316,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NZL,2014,1328,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
OMN,2014,49592,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PAK,2014,385497,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PER,2014,99845,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
POL,2014,7336,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
RUS,2014,137000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SEN,2014,60594,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SWE,2014,1481,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TUR,2014,36719,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TWN,2014,244084,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TZA,2014,183800,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
UGA,2014,115442,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
USA,2014,185263,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
VEN,2014,62069,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ARG,2015,21073,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
BGD,2015,1726210,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CAN,2015,42507,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHL,2015,94179,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHN,2015,9484457,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CMR,2015,240728,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DEU,2015,2419,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DNK,2015,1330,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ECU,2015,65730,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EGY,2015,39128,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ESP,2015,32059,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EU,2015,74717,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRA,2015,13442,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRO,2015,1512,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GBR,2015,12107,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IDN,2015,2702664,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRL,2015,3451,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRN,2015,141136,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ISL,2015,4500,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
JPN,2015,166610,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
KOR,2015,72365,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
LKA,2015,278646,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MAR,2015,105072,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MEX,2015,238590,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MMR,2015,2999500,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MYS,2015,145947,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NAM,2015,16510,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NGA,2015,1565358,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NLD,2015,2564,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NOR,2015,11130,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NZL,2015,1304,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
OMN,2015,47385,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PAK,2015,406029,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
POL,2015,4342,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SEN,2015,53101,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SWE,2015,1491,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TUR,2015,35821,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TWN,2015,235569,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TZA,2015,183894,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
UGA,2015,116213,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
USA,2015,164047,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
VEN,2015,63446,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ARG,2016,20221,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
BGD,2016,1726270,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CAN,2016,44342,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHL,2016,97362,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHN,2016,8795228,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CMR,2016,240728,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DEU,2016,2368,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DNK,2016,1272,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EGY,2016,35940,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ESP,2016,32508,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EU,2016,75192,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRA,2016,13437,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRO,2016,1491,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GBR,2016,12125,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IDN,2016,2601638,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRL,2016,3612,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRN,2016,149366,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ISL,2016,4500,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
JPN,2016,160020,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
KOR,2016,61505,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
LKA,2016,290167,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MAR,2016,107973,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MEX,2016,237995,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MYS,2016,137461,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NGA,2016,1190497,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NLD,2016,2613,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NOR,2016,11249,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NZL,2016,1246,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
OMN,2016,51028,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PAK,2016,421252,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
POL,2016,4324,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SEN,2016,71177,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SWE,2016,1442,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TUR,2016,36907,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TWN,2016,229256,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TZA,2016,203529,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
UGA,2016,118884,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
VEN,2016,63446,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
