Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2029,catches_fleet,unaffected_managed,atlantic,49964.60964372162,52157.04261287801,0.043879717760026256,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2030,catches_fleet,unaffected_managed,atlantic,49983.852824870206,52315.55666322385,0.04664914180432022,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2031,catches_fleet,unaffected_managed,atlantic,49995.60810159725,52443.52427791027,0.04896262430368983,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2032,catches_fleet,unaffected_managed,atlantic,50002.359910421605,52546.67039404445,0.050883808047878835,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2033,catches_fleet,unaffected_managed,atlantic,50005.83501965456,52629.74173685513,0.05247201083972021,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2034,catches_fleet,unaffected_managed,atlantic,50007.221090079824,52696.63527865769,0.053780516692445816,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2035,catches_fleet,unaffected_managed,atlantic,50007.32491678946,52750.52685865709,0.05485600252427471,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2036,catches_fleet,unaffected_managed,atlantic,50006.68628582743,52793.990308325185,0.055738626762151834,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2037,catches_fleet,unaffected_managed,atlantic,50005.65940205245,52829.102837669874,0.05646247783508956,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2038,catches_fleet,unaffected_managed,atlantic,50004.47076746812,52857.53554539665,0.05705619385906337,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2039,catches_fleet,unaffected_managed,atlantic,50003.26005208222,52880.62959437338,0.05754363894062416,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2040,catches_fleet,unaffected_managed,atlantic,50002.10874682984,52899.459408820854,0.05794456943127833,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2041,catches_fleet,unaffected_managed,atlantic,50001.06008614012,52914.88456068293,0.058275253955075594,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2042,catches_fleet,unaffected_managed,atlantic,50000.1327673172,52927.592043270284,0.058549030051108834,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2043,catches_fleet,unaffected_managed,atlantic,49999.33028944553,52938.13051638395,0.0587767918075251,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2044,catches_fleet,unaffected_managed,atlantic,49998.647220287545,52946.93792893306,0.0589674095712176,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2045,catches_fleet,unaffected_managed,atlantic,49998.073325879166,52954.363728143595,0.05912808645636838,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2046,catches_fleet,unaffected_managed,atlantic,49997.5962269914,52960.686673252014,0.05926465810092238,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2047,catches_fleet,unaffected_managed,atlantic,49997.20305161493,52966.12909794159,0.05938184268551327,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2048,catches_fleet,unaffected_managed,atlantic,49996.88141265938,52970.8683142977,0.0594834481193321,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2049,catches_fleet,unaffected_managed,atlantic,49996.6199400678,52975.045722313895,0.05957254282022278,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2050,catches_fleet,unaffected_managed,atlantic,49996.40852547509,52978.774081504096,0.059651595864318466,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2051,catches_fleet,unaffected_managed,atlantic,49996.23838731194,52982.14331258649,0.05972259157065539,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2052,catches_fleet,unaffected_managed,atlantic,49996.102028990885,52985.22512485203,0.059787122886657586,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2053,catches_fleet,unaffected_managed,atlantic,49995.993138237565,52988.07670613596,0.05984646728839575,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2054,catches_fleet,unaffected_managed,atlantic,49995.906458660254,52990.7436649355,0.0599016483229795,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2055,catches_fleet,unaffected_managed,atlantic,49995.83765305627,52993.26237611809,0.059953485405371265,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2056,catches_fleet,unaffected_managed,atlantic,49995.783170136645,52995.66185111169,0.06000263403748269,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2057,catches_fleet,unaffected_managed,atlantic,49995.74012116787,52997.96522901618,0.060049618238918454,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2058,catches_fleet,unaffected_managed,atlantic,49995.70616966712,53000.19096553486,0.0600948566597222,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2059,catches_fleet,unaffected_managed,atlantic,49995.67943517142,53002.35378102582,0.060138683578710155,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2060,catches_fleet,unaffected_managed,atlantic,49995.65841082561,53004.46541653143,0.06018136576943892,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2061,catches_fleet,unaffected_managed,atlantic,49995.641893817985,53006.535236723656,0.06022311603279907,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2062,catches_fleet,unaffected_managed,atlantic,49995.628927338934,53008.57071079782,0.06026410404473046,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2063,catches_fleet,unaffected_managed,atlantic,49995.61875261479,53010.57779604701,0.060304465044240155,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2064,catches_fleet,unaffected_managed,atlantic,49995.61076958455,53012.561243830416,0.060344306786252244,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2065,catches_fleet,unaffected_managed,atlantic,49995.604504881725,53014.52484364983,0.06038371510186116,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2066,catches_fleet,unaffected_managed,atlantic,49995.59958591763,53016.4716178615,0.06042275834201138,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2067,catches_fleet,unaffected_managed,atlantic,49995.59572001131,53018.40397701186,0.06046149092670249,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2068,catches_fleet,unaffected_managed,atlantic,49995.592677659566,53020.32384376187,0.06049995617821529,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2069,catches_fleet,unaffected_managed,atlantic,49995.59027918003,53022.23275175204,0.060538188581651955,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2070,catches_fleet,unaffected_managed,atlantic,49995.588384085655,53024.131924474,0.060576215587701265,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2071,catches_fleet,unaffected_managed,atlantic,49995.58688265979,53026.022338190225,0.06061405904970982,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2072,catches_fleet,unaffected_managed,atlantic,49995.58568929545,53027.90477212557,0.06065173636878451,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2073,catches_fleet,unaffected_managed,atlantic,49995.584737244004,53029.77984850276,0.0606892614058866,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2074,catches_fleet,unaffected_managed,atlantic,49995.58397448464,53031.64806447407,0.06072664520808273,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2075,catches_fleet,unaffected_managed,atlantic,49995.58336048295,53033.50981758679,0.06076389658661421,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2076,catches_fleet,unaffected_managed,atlantic,49995.58286365247,53035.365426089134,0.06080102257686917,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2077,catches_fleet,unaffected_managed,atlantic,49995.58245937012,53037.21514511947,0.06083802880426879,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2078,catches_fleet,unaffected_managed,atlantic,49995.582128427675,53039.0591796111,0.06087491977521928,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2079,catches_fleet,unaffected_managed,atlantic,49995.58185582507,53040.89769457666,0.060911699108403904,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2080,catches_fleet,unaffected_managed,atlantic,49995.58162983134,53042.730823302154,0.06094836971858821,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2019,catches_fleet,unaffected_oa,atlantic,149484.85286387446,149484.85286387446,0,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2020,catches_fleet,unaffected_oa,atlantic,152209.0716683097,152209.0716683097,0,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2021,catches_fleet,unaffected_oa,atlantic,154328.5425507682,155711.86887437184,0.008963515761503206,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2022,catches_fleet,unaffected_oa,atlantic,155968.74151632853,159628.3142112906,0.023463500823201384,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2023,catches_fleet,unaffected_oa,atlantic,157233.8060898648,163726.92916047826,0.041295973379302395,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2024,catches_fleet,unaffected_oa,atlantic,158207.8585611254,167856.82855133948,0.06098919534067318,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2025,catches_fleet,unaffected_oa,atlantic,158957.58128154036,171918.47336539646,0.08153679729751426,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2026,catches_fleet,unaffected_oa,atlantic,159535.12880469038,175846.37080669994,0.1022423219526683,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2027,catches_fleet,unaffected_oa,atlantic,159980.90353470092,179598.2940677831,0.12262332628235872,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2028,catches_fleet,unaffected_oa,atlantic,160325.988612948,183148.28053048594,0.1423492979209661,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2029,catches_fleet,unaffected_oa,atlantic,160594.17929148988,186481.92531328733,0.16119977782513112,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2030,catches_fleet,unaffected_oa,atlantic,160803.62779107384,189593.12225499278,0.17903510548483428,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2031,catches_fleet,unaffected_oa,atlantic,160968.1482249302,192481.7466799007,0.19577536799972828,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2032,catches_fleet,unaffected_oa,atlantic,161098.23731311152,195151.96872506913,0.21138487906463296,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2033,catches_fleet,unaffected_oa,atlantic,161201.86481017352,197611.0009232939,0.22586051443011962,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2034,catches_fleet,unaffected_oa,atlantic,161285.08114767692,199868.15353410837,0.23922282279229384,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2035,catches_fleet,unaffected_oa,atlantic,161352.48203403078,201934.114287224,0.25150919119195303,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2036,catches_fleet,unaffected_oa,atlantic,161407.56223085886,203820.3962460412,0.2627685681450283,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2037,catches_fleet,unaffected_oa,atlantic,161452.9840937925,205538.91462845352,0.2730573905592868,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2038,catches_fleet,unaffected_oa,atlantic,161490.7809152719,207101.6644193815,0.28243645393008476,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2039,catches_fleet,unaffected_oa,atlantic,161522.51060500194,208520.47780736297,0.290968528326637,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2040,catches_fleet,unaffected_oa,atlantic,161549.371665932,209806.84532101636,0.29871656669068325,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2041,catches_fleet,unaffected_oa,atlantic,161572.29061962335,210971.78792185363,0.305742383875262,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2042,catches_fleet,unaffected_oa,atlantic,161591.98785885426,212025.7697732059,0.31210570884494604,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2043,catches_fleet,unaffected_oa,atlantic,161609.02722877738,212978.6432810138,0.31786353109790344,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2044,catches_fleet,unaffected_oa,atlantic,161623.8533532487,213839.61948856423,0.3230696772288406,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2045,catches_fleet,unaffected_oa,atlantic,161636.81974265468,214617.25812153664,0.32777456561712365,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2046,catches_fleet,unaffected_oa,atlantic,161648.20997407407,215319.4725922647,0.33202509713407097,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2047,catches_fleet,unaffected_oa,atlantic,161658.25366925207,215953.54612592584,0.33586464794900184,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2048,catches_fleet,unaffected_oa,atlantic,161667.13856811845,216526.15589417878,0.33933313728408376,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2049,catches_fleet,unaffected_oa,atlantic,161675.0196726111,217043.40265291656,0.3424671485578008,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2050,catches_fleet,unaffected_oa,atlantic,161682.0261921412,217510.84389514918,0.3453000869537694,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2051,catches_fleet,unaffected_oa,atlantic,161688.2668388654,217933.5289599505,0.34786236021156525,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2052,catches_fleet,unaffected_oa,atlantic,161693.833883299,218316.0348948171,0.35018157249202614,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2053,catches_fleet,unaffected_oa,atlantic,161698.80627753146,218662.5021615572,0.35228272363530133,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2054,catches_fleet,unaffected_oa,atlantic,161703.25207591103,218976.66951396808,0.35418840810431096,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2055,catches_fleet,unaffected_oa,atlantic,161707.23032512816,219261.9075672297,0.3559190094739874,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2056,catches_fleet,unaffected_oa,atlantic,161710.79255230297,219521.25073147163,0.3574928875601839,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2057,catches_fleet,unaffected_oa,atlantic,161713.98394731487,219757.42730185168,0.35892655624294617,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2058,catches_fleet,unaffected_oa,atlantic,161716.8443114471,219972.8875904066,0.360234850778843,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2059,catches_fleet,unaffected_oa,atlantic,161719.40882639255,220169.83005579546,0.3614310839594401,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2060,catches_fleet,unaffected_oa,atlantic,161721.70868422356,220350.2254400521,0.3625271908937476,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2061,catches_fleet,unaffected_oa,atlantic,161723.7716089049,220515.83896011938,0.3635338625009982,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2062,catches_fleet,unaffected_oa,atlantic,161725.62229245756,220668.25062921632,0.3644606680206151,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2063,catches_fleet,unaffected_oa,atlantic,161727.2827633045,220808.8738014216,0.36531616699815445,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2064,catches_fleet,unaffected_oa,atlantic,161728.7727001706,220938.9720442548,0.36610801130516296,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2065,catches_fleet,unaffected_oa,atlantic,161730.10970179594,221059.6744501194,0.3668430378098274,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2066,catches_fleet,unaffected_oa,atlantic,161731.30952039504,221171.989499552,0.367527352343989,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2067,catches_fleet,unaffected_oa,atlantic,161732.3862650423,221276.81758834753,0.3681664056185109,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2068,catches_fleet,unaffected_oa,atlantic,161733.35257984803,221374.96232762717,0.3687650617292063,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2069,catches_fleet,unaffected_oa,atlantic,161734.2198007904,221467.14072143484,0.3693276598744413,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2070,catches_fleet,unaffected_oa,atlantic,161734.99809431066,221553.99232099208,0.36985806987674896,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2071,catches_fleet,unaffected_oa,atlantic,161735.6965801968,221636.0874486999,0.37035974206721545,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2072,catches_fleet,unaffected_oa,atlantic,161736.3234408312,221713.93457863998,0.37083575205510755,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
