iso3,year,isscaap_group,variable,units,source,value
AGO,2005,"Flounders, halibuts, soles",capture_production,tonnes,FAO (2019),8800
AGO,2005,"Herrings, sardines, anchovies",capture_production,tonnes,FAO (2019),46000
AGO,2005,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),500
AGO,2005,Marine fishes not identified,capture_production,tonnes,FAO (2019),20119
AGO,2005,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),65000
AGO,2005,Miscellaneous demersal fishes,capture_production,tonnes,FAO (2019),3300
AGO,2005,Miscellaneous pelagic fishes,capture_production,tonnes,FAO (2019),36700
AGO,2005,"Sharks, rays, chimaeras",capture_production,tonnes,FAO (2019),3300
AGO,2005,"Shrimps, prawns",capture_production,tonnes,FAO (2019),1350
AGO,2005,"Squids, cuttlefishes, octopuses",capture_production,tonnes,FAO (2019),1200
AGO,2005,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),3847
AGO,2006,"Cods, hakes, haddocks",capture_production,tonnes,FAO (2019),1800
AGO,2006,"Crabs, sea-spiders",capture_production,tonnes,FAO (2019),296
AGO,2006,"Flounders, halibuts, soles",capture_production,tonnes,FAO (2019),8323
AGO,2006,"Herrings, sardines, anchovies",capture_production,tonnes,FAO (2019),50000
AGO,2006,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),483
AGO,2006,Marine fishes not identified,capture_production,tonnes,FAO (2019),22868
AGO,2006,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),77601
AGO,2006,Miscellaneous demersal fishes,capture_production,tonnes,FAO (2019),2959
AGO,2006,Miscellaneous pelagic fishes,capture_production,tonnes,FAO (2019),41499
AGO,2006,"Sharks, rays, chimaeras",capture_production,tonnes,FAO (2019),3622
AGO,2006,"Shrimps, prawns",capture_production,tonnes,FAO (2019),1206
AGO,2006,"Squids, cuttlefishes, octopuses",capture_production,tonnes,FAO (2019),1361
AGO,2006,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),3223
AGO,2007,"Cods, hakes, haddocks",capture_production,tonnes,FAO (2019),5876
AGO,2007,"Crabs, sea-spiders",capture_production,tonnes,FAO (2019),172
AGO,2007,"Flounders, halibuts, soles",capture_production,tonnes,FAO (2019),22493
AGO,2007,"Herrings, sardines, anchovies",capture_production,tonnes,FAO (2019),80608
AGO,2007,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),487
AGO,2007,Marine fishes not identified,capture_production,tonnes,FAO (2019),38053
AGO,2007,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),73224
AGO,2007,Miscellaneous demersal fishes,capture_production,tonnes,FAO (2019),6156
AGO,2007,Miscellaneous pelagic fishes,capture_production,tonnes,FAO (2019),38110
AGO,2007,Shads,capture_production,tonnes,FAO (2019),15217
AGO,2007,"Sharks, rays, chimaeras",capture_production,tonnes,FAO (2019),8541
AGO,2007,"Shrimps, prawns",capture_production,tonnes,FAO (2019),1982
AGO,2007,"Squids, cuttlefishes, octopuses",capture_production,tonnes,FAO (2019),721
AGO,2007,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),5796
AGO,2008,"Cods, hakes, haddocks",capture_production,tonnes,FAO (2019),2565
AGO,2008,"Crabs, sea-spiders",capture_production,tonnes,FAO (2019),103
AGO,2008,"Flounders, halibuts, soles",capture_production,tonnes,FAO (2019),4630
AGO,2008,"Herrings, sardines, anchovies",capture_production,tonnes,FAO (2019),70438
AGO,2008,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),290
AGO,2008,Marine fishes not identified,capture_production,tonnes,FAO (2019),39703
AGO,2008,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),106511
AGO,2008,Miscellaneous demersal fishes,capture_production,tonnes,FAO (2019),1028
AGO,2008,Miscellaneous marine crustaceans,capture_production,tonnes,FAO (2019),0
AGO,2008,Miscellaneous pelagic fishes,capture_production,tonnes,FAO (2019),51967
AGO,2008,Shads,capture_production,tonnes,FAO (2019),17616
