description,affected,flag_iso3,A1_subs,A2_subs,A3_subs,B1_subs,B2_subs,B3_subs,B4_subs,B5_subs,B6_subs,B7_subs,C1_subs,C2_subs,C3_subs
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,KIR,29429367.24869319,0,2984861.6106262347,305769.64295469935,2765155.9988388666,0,5099708.059021541,0,622239.250654855,361016.18218162714,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,KIR,21810128.22130681,0,2212083.389373766,226606.1333453007,2049259.3801611336,0,3779397.8279784597,0,461142.01934514503,267549.38890837284,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,KNA,0,0,0,0,0,0,0,0,0,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,KNA,0,0,0,0,0,0,0,0,0,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,KOR,735783212.0341446,284212157.39157015,0,31933839.931272328,79290306.95828216,132831390.4591462,277524097.11958194,0,0,319576562.5185939,2740620.413452171,23270030.47051447,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,KOR,318369611.16585535,122977138.58842985,0,13817608.278727675,34308507.97171784,57475459.4008538,120083249.31041805,0,0,138279134.7814061,1185852.3558478295,10068822.489485532,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,LBN,685438.6207999999,0,289104.74149999995,0,361216.41508752,0,0,0,4074.6199999999994,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,LBR,47470.29653,0,186886.43893000003,0,0,0,0,0,1019.04,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,LBY,0,2456433.1604,0,0,0,0,0,0,0,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,LIE,0,0,0,0,0,0,0,0,0,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,LKA,2552268.0343188997,1889168.6285313924,609810.8346991569,3397879.6860391013,9028117.944119502,17886228.76288416,559561.2524297254,25192176.986302853,1512361.8065420424,0,5366.446194087023,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,LKA,224.38968109998845,166.09146860760126,53.61320084313854,298.7339608983939,793.7318804976803,1572.5171158428348,49.19537027470674,2214.8396971478323,132.96345795763287,0,0.4718059129917289,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,LTU,134314.62700677288,134139.32900367782,3323691.1083979276,788250.2663019992,226123.0390098311,254741.65073724042,252730.9972758871,2751687.9558751974,3501582.671448282,86445.6689705041,531973.560646544,184.80954175827677,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,LTU,160937.32967822714,160727.28559632218,3982484.883302073,944490.5279780008,270943.224040169,305234.37350875966,302825.1854241129,3297104.1322548036,4195636.5985517185,103580.19402949592,637416.8340247561,221.44091684172324,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,LVA,1079228.7866498986,559062.2446152988,5862313.622914218,822515.7043237312,822433.9558893228,942844.7940825429,2171755.39837467,0,10133366.80074472,6682704.062401787,568930.763235475,64252.52782497381,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,LVA,377347.53319010127,195473.6210847011,2049731.8193857814,287588.9485862686,287560.36561067734,329661.47829745716,759344.5916253298,0,3543086.51925528,2336577.67859821,198924.10461852487,22465.609865026192,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,MAR,51481194.25526521,19776543.58132351,2655774.9378153128,9725470.318925759,165940276.98014987,1642917.2158800138,13347265.134291371,7529755.446702243,289624.3971076455,7699419.783051234,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,MAR,15255.154734791364,5860.280376490673,786.9719846875917,2881.898074240175,49172.219850113936,486.8371199865655,3955.1257086285664,2231.2532977580013,85.82289235444296,2281.529048766144,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,MDG,37785308,548155.7884000001,2637239.0409999997,0,16402485.860000001,22974.10736,19943.754220000003,0,35073.78,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,MEX,3241719.032848457,2201323.952648757,9545360.370120013,2431804.5288233412,3750473.367509804,0,0,51078340.49688923,148801.9948483328,9320475.010787422,6674303.767065749,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,MEX,3812032.8181515452,2588601.623351244,11224670.189879991,2859630.516176659,4410292.013490197,0,0,60064523.88311077,174980.64515166727,10960220.87721258,7848510.231934252,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,MHL,17767394.285726916,3815507.4148544515,2159271.3202951746,0,1277779.136926635,1060046.944847442,1381993.276127659,0,1679664.0250869738,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,MHL,2634974.70427308,565854.8102455487,320228.4599048251,0,189499.6896733651,157209.14615255818,204955.0578723411,0,249100.80491302634,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,MLT,991161.957636092,229106.6027940799,7487937.113888717,1996187.400462792,0,0,4504663.008810424,0,4144768.6596213407,3584119.9691402484,1325303.8492487785,1453243.139047639,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,MLT,109.3735639079047,25.281645920092334,826.28511128246,220.27694720788696,0,0,497.0842995757855,0,457.37037865916153,395.50345075116905,146.2457312212777,160.36368236068702,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,MNE,195942.50602000003,0,19906.436060000004,0,0,0,0,0,0,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,MNG,0,0,0,0,0,0,0,0,0,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,MNG,0,0,0,0,0,0,0,0,0,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,MOZ,22516.38007172911,851.3294088941421,1141.5700024294615,0,18844.927907185473,8748.166268516297,1130.2295594651175,7976.836662060885,0,3932.3315054510176,6.5999363495540075,0,0.0010815323555312928
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,MOZ,6729072.714928271,254421.7799911059,341160.8584975704,0,5631850.670092814,2614409.898731483,337771.7406605349,2383896.246337939,0,1175186.444494549,1972.4063756504468,0,0.3232184676548162
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,MRT,3088209.651533832,511539.69524967583,783154.2524808764,0,0,14165661.027284792,2945664.907887825,1507534.1917615603,122160.88347981448,1620441.7100761305,330891.05804144737,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,MRT,2007.3854661681667,332.50895032410756,509.0627391236503,0,0,9207.90531520842,1914.7291121762862,979.9212384401089,79.40652018552116,1053.312923869631,215.0844585527104,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,MUS,2245981.1402424844,47525.25326522773,204486.47905605132,287639.81192066765,126132.37227471225,0,42092.04131106575,499579.1077710207,1878.5201975020675,0,68733.80764097364,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,MUS,4989228.525757516,105572.72500477228,454246.8127439486,638963.8492793323,280190.7898952878,0,93503.37340493425,1109766.369228979,4172.949802497933,0,152685.46454902634,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,MYS,45850682.83703297,5060637.7213219,6389383.01491406,20791122.038718313,32427993.91463168,3499927.5913783126,0,170148717.07190517,3847478.4401175147,63573742.903348394,21460547.360239193,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,MYS,22666.152967037957,2501.7116780995634,3158.57308594028,10278.031281691563,16030.68536832245,1730.1791216872323,0,84112.52809482977,1901.9898824854108,31427.496651600246,10608.959760805634,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,NAM,589585.3861922253,156091.9790326906,27136.762434288055,0,13477.593366480982,0,2105318.875081804,0,596.4305199147916,189257.45044373165,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,NAM,12288073.953807773,3253251.9069673093,565581.426319012,0,280898.52273351897,0,43878825.08491819,0,12430.739480085207,3944483.024556268,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,NCL,312169.6626538861,96275.03715106526,1230946.242282158,57842.866995897355,106476.92606622455,608618.9845688374,158249.2662066139,50479.351176670585,282885.33985508233,1454912.0784206607,336861.0042191643,11873.31012466215,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,NCL,58.65444420685288,18.089390067832557,231.2859842810073,10.868260503381872,20.00625194060901,114.35514896014813,29.73390391808368,9.48470861011548,53.15212965413374,273.36756110159666,63.29377047552587,2.2309099492150413,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,NGA,690726.6655713036,66807.96929404285,0,0,961867.4661507517,0,0,3541150.3943893746,1587612.4619362906,0,3444549.910457873,0,0.44788954439181683
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,NGA,170.34312869633413,16.47580595717004,0,0,237.2103492483748,0,0,873.2986106242547,391.5280637093054,0,849.4755421274538,0,1.1045600250422328e-4
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,NIC,111894.58952016206,10945.501531762506,49367.45192158995,0,534220.5514531934,0,0,113807.04052331351,593.1279498840393,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,NIC,1165688.6054798386,114027.37586823752,514297.21877841,0,5565370.160546807,0,0,1185612.0204766865,6179.052050115962,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,NIU,0,0,0,0,0,0,0,0,0,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,NLD,14600829.572116056,874942.8396444705,17452725.50936027,7950721.482812988,727264.3806653687,0,1695220.2794490366,27734037.924593534,7722057.739226997,64128371.7403448,5259190.191591029,5804154.323991535,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,NLD,3118443.8198256074,186870.21018316966,3727551.4884247463,1698114.3536243294,155329.0586718719,0,362064.9893610626,5923433.236281753,1649276.3725711354,13696531.662219433,1123257.3511833425,1239650.7398135674,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,NOR,69824411.21427129,81483640.19851933,67791947.22264937,43881193.34054848,80316849.61898406,0,4004702.365366366,174846192.24912047,48298418.81888294,51032228.65742822,164849.78046012303,39903656.13309829,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,NOR,1390876.6657287073,1623124.2314806683,1350390.7283506491,874097.2794515211,1599882.191015943,0,79772.20253363463,3482872.030879541,962086.7911170633,1016543.280571786,3283.7471738769495,794866.1969017057,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,NRU,458224.891720211,36781.57973941091,0,177.4258410702111,0,1737.89352666089,2959.15573183565,0,14.419463423509601,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,NRU,11697580.108279787,938961.3774485891,0,4529.332706929788,0,44365.0031133391,75541.42485816435,0,368.10053657649036,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,NZL,37956950.43905012,0,27260657.22242941,0,0,0,0,0,776966.2677248957,27856825.27356188,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,NZL,421580.4199498757,0,302778.7845705817,0,0,0,0,0,8629.612275104211,309400.30643811706,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,OMN,37823530.489999995,9400376.099,547888.0340000001,0,19511978.68908,2216839.8909999984,8855609.503,0,191570.48,15717039.44,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,PAK,19340520.54,4440868.199,500991.18990000006,3076097.5629999996,17549534.9,0,77756610.46,0,467245.44,0,0,0,0.012999999684514103
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,PAN,200399.8509868709,85794.20455270977,633697.8308343984,324005.7875651404,90767.70609037188,0,841496.2055747515,1085892.6239262929,110881.97741939823,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,PAN,1299790.681013129,556460.0323472902,4110155.4269656013,2101497.0879348596,588718.0950096282,0,5457932.831425249,7043084.644073708,719178.9825806017,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,PER,14013462.395661753,17441713.20987805,2741040.9440525635,28548480.632341158,2614314.8469163147,0,21244446.408193745,132538391.85825992,62527.256917580205,0,2662385.894953404,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,PER,196834.26533824607,244987.76312194948,38500.89044743612,400994.34765883634,36720.88508368541,0,298401.2718062522,1861645.3417400573,878.263082419787,0,37396.09504659574,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,PHL,143646.720912277,2245019.335283104,5066071.940103926,1579483.4236193735,759558.6649667083,0,8428.794790777867,6965024.196271872,2201958.2905800897,22044763.082694016,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,PHL,420786.85498772294,6576374.451716894,14840133.24689607,4626808.451380626,2224988.4980332917,0,24690.61617852213,20402767.34372813,6450234.9794199085,64576110.527305976,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,PLW,20877991.176307008,0,2095664.130679734,0,0,0,250124.67248148352,0,0,0,0,0,0
