uaid,spid,SciName,CommName,SpeciesCat,VonBertK,Temp,area,MaxLength,AgeMat,pcat,mind
1008,2232,Pollachius pollachius,Pollack,32,0.186000004,NaN,1908,130,2.5,1,NaN
13214,2233,Boreogadus saida,Polar cod,32,0.213,NaN,12600,40,2.666666667,3,0
1034,2235,Trisopterus luscus,Pouting(=Bib),32,0.350499988,NaN,1295,46,1.5,1,30
374,2236,Micromesistius australis,Southern blue whiting,32,0.264666667,NaN,4508,90,3,2,50
9647,2237,Merluccius spp,Hakes nei,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,2238,Merluccius merluccius,European hake,32,0.166679246,NaN,4176,140,3.5,3,30
372,2239,Merluccius australis,Southern hake,32,0.214066668,NaN,3354,155,7.5,2,28
2163,2240,Merluccius gayi,South Pacific hake,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17543,2241,Merluccius polli,Benguela hake,32,0.393999994,NaN,1632,80,NaN,3,50
18647,2242,Merluccius albidus,Offshore silver hake,32,0.569000006,NaN,1824,40.59999847,NaN,2,80
367,2243,Macruronus magellanicus,Patagonian grenadier,32,0.192750003,NaN,702,115,NaN,2,30
14740,2244,Macrourus spp,Grenadiers nei,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4754,2247,Lampris guttatus,Opah,37,NaN,NaN,41400,200,NaN,4,100
2080,2248,Beryx spp,Alfonsinos nei,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
576,2249,Hoplostethus atlanticus,Orange roughy,34,0.0595,6,10164,75,31.625,2,180
812,2250,Zeus faber,John dory,34,0.319714289,NaN,24056,90,3,2,5
10225,2251,Caproidae,Boarfishes nei,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10267,2252,Oreosomatidae,Oreo dories nei,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
148,2255,Sphyraena spp,Barracudas nei,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,2256,Mugilidae,Mullets nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19283,2257,Mugil liza,Lebranche mullet,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17112,2258,Mugil soiuy,So-iuy mullet,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9820,2259,Joturus pichardi,Bobo mullet,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1597,2261,Liza saliens,Leaping mullet,33,0.250461535,NaN,2400,40,3,2,10
1523,2263,Atherina boyeri,Big-scale sand smelt,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1874,2264,Menidia menidia,Atlantic silverside,37,1.192499995,16.99999922,1050,15,NaN,1,0
236,2265,Polynemidae,"Threadfins, tasselfishes nei",33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4861,2266,Polydactylus quadrifilis,Giant African threadfin,33,0.340000004,NaN,837,200,NaN,3,15
6513,2267,Eleutheronema tetradactylum,Fourfinger threadfin,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1774,2268,Galeoides decadactylus,Lesser African threadfin,33,0.35475,NaN,2240,50,NaN,3,10
1784,2269,Pentanemus quinquarius,Royal threadfin,33,0.731499985,NaN,1120,35,NaN,3,10
691,2273,Percoidei,Percoids nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9752,2274,Centropomus undecimalis,Common snook,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1369,2277,Mycteroperca spp,Brazilian groupers nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
163,2278,Epinephelus spp,Groupers nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
841,2280,Epinephelus striatus,Nassau grouper,33,0.0925,NaN,4002,122,NaN,3,1
14414,2281,Epinephelus goreensis,Dungat grouper,33,NaN,NaN,1020,140,NaN,3,80
7402,2286,Lateolabrax japonicus,Japanese seabass,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18670,2289,Morone saxatilis,Striped bass,25,0.1888,16.5,1350,200,NaN,2,30
10062,2290,Dicentrarchus spp,Seabasses nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,2291,Dicentrarchus labrax,European seabass,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1404,2295,Priacanthus spp,Bigeyes nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3326,2298,Perca fluviatilis,European perch,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18618,2302,Lopholatilus chamaeleonticeps,Great Northern tilefish,34,0.141499996,11.5,NaN,125,5,4,80
896,2304,Rachycentron canadum,Cobia,37,0.324588239,NaN,22176,200,NaN,3,0
85,2305,Trachurus spp,Jack and horse mackerels nei,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1032,2306,Trachurus trachurus,Atlantic horse mackerel,37,0.22175862,NaN,5762,70,2.537499994,2,0
12797,2307,Trachurus picturatus,Blue jack mackerel,37,NaN,NaN,4214,60,NaN,1,305
7838,2308,Trachurus japonicus,Japanese jack mackerel,37,0.348571428,NaN,323,50,3,3,0
2241,2309,Trachurus murphyi,Chilean jack mackerel,37,0.109000001,NaN,9275,70,NaN,2,10
12128,2310,Trachurus symmetricus,Pacific jack mackerel,37,0.150000002,NaN,NaN,81,NaN,1,0
1730,2311,Trachurus mediterraneus,Mediterranean horse mackerel,37,0.343875002,NaN,1176,60,NaN,1,0
458,2312,Trachurus lathami,Rough scad,37,0.210000001,NaN,NaN,40,2,1,30
801,2313,Trachurus declivis,Greenback horse mackerel,37,0.225000002,16,2860,64,2.5,4,27
7290,2314,Decapterus maruadsi,Japanese scad,37,0.983636368,NaN,7605,25,NaN,4,NaN
713,2316,Pseudocaranx dentex,White trevally,37,0.218750002,NaN,NaN,122,NaN,4,10
5325,2317,Caranx rhonchus,False scad,37,0.2315,18.5,3355,60,2,1,30
1209,2318,Selene dorsalis,African moonfish,37,0.600000024,NaN,NaN,38,NaN,3,20
757,2320,Seriola spp,Amberjacks nei,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6988,2322,Lichia amia,Leerfish,37,NaN,NaN,NaN,200,NaN,2,0
17886,2323,Gnathanodon speciosus,Golden trevally,37,0.334999986,NaN,NaN,120,NaN,3,1
3745,2324,Scomberoides spp,Queenfishes,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN
197,2325,Chloroscombrus chrysurus,Atlantic bumper,37,0.390000001,NaN,NaN,65,NaN,1,NaN
5677,2326,Selar crumenophthalmus,Bigeye scad,37,1.328210526,NaN,25560,30,NaN,4,0
11741,2328,Mene maculata,Moonfish,33,0.563666676,NaN,NaN,30,NaN,2,50
495,2330,Arripis georgianus,Ruff,33,0.905000002,NaN,494,41,2,4,1
10594,2331,Emmelichthys nitidus,Cape bonnetmouth,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
844,2332,Lutjanus spp,Snappers nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1352,2333,Lutjanus purpureus,Southern red snapper,33,0.116666665,NaN,2288,100,NaN,3,26
1353,2334,Lutjanus synagris,Lane snapper,33,0.228590908,NaN,4420,60,1.75,2,10
11176,2335,Nemipteridae,Threadfin and dwarf breams nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9451,2336,Scolopsis spp,Monocle breams,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4147,2337,Leiognathus spp,Ponyfishes(=Slipmouths),33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3736,2340,Pomadasys argenteus,Silver grunt,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1787,2341,Pomadasys jubelini,Sompat grunt,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1303,2342,Conodon nobilis,Barred grunt,33,NaN,NaN,4347,33.59999847,NaN,1,NaN
9769,2346,Cynoscion nebulosus,Spotted weakfish,33,0.21753846,NaN,NaN,100,NaN,2,10
18458,2347,Cynoscion regalis,Squeteague(=Gray weakfish),33,0.236249996,21.75,460,98,0,1,10
334,2349,Cynoscion striatus,Striped weakfish,33,NaN,NaN,1120,60,NaN,3,NaN
2168,2350,Micropogonias spp,Croakers nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
375,2351,Micropogonias furnieri,Whitemouth croaker,33,0.159700001,NaN,3150,60,3,2,NaN
18656,2352,Micropogonias undulatus,Atlantic croaker,33,0.568000008,NaN,NaN,55,1,1,NaN
2547,2353,Menticirrhus spp,Kingcroakers nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18644,2354,Menticirrhus saxatilis,Northern kingfish,33,0.629999995,NaN,NaN,46,NaN,2,10
10181,2356,Umbrina canariensis,Canary drum (=Baardman),33,0.259000003,14.5,NaN,80,NaN,1,50
3174,2357,Argyrosomus regius,Meagre,33,0.141999998,NaN,4189,230,NaN,2,15
18353,2358,Atractoscion nobilis,White weakfish,33,0.128000006,NaN,NaN,166,4,4,0
2679,2359,Pteroscion peli,Boe drum,33,NaN,NaN,1870,32,NaN,3,0
11656,2360,Paralonchurus peruanus,Peruvian banded croaker,33,NaN,NaN,NaN,51,NaN,3,10
8329,2361,Nibea mitsukurii,Honnibe croaker,33,NaN,NaN,NaN,75,NaN,4,NaN
2309,2362,Larimichthys polyactis,Yellow croaker,33,0.386600006,NaN,456,40,NaN,4,NaN
238,2363,Pseudotolithus spp,West African croakers nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1789,2364,Pseudotolithus senegalensis,Cassava croaker,33,0.549,NaN,NaN,114,NaN,3,0
1788,2365,Pseudotolithus elongatus,Bobo croaker,33,0.339999999,NaN,713,47,NaN,3,0
168,2366,Lethrinidae,Emperors(=Scavengers) nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
768,2367,Sparidae,"Porgies, seabreams nei",33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
