"","Id","Name","Category","Region","Change in biomass (%, 2050)","Change in catch (%, 2050)","Change in fishing mortality (%, 2050)","Change in revenue (%, 2050)","Change in biomass (%, 2080)","Change in catch (%, 2080)","Change in fishing mortality (%, 2080)","Change in revenue (%, 2080)","Subsidies affected ($)","Subsidies affected (%)"
"47","RD/TN/RL/87","IUU (Option A)","IUU","Indian Ocean",0,0,0,0,0,0,0,0,354891.458239475,0.02
"48","RD/TN/RL/104","IUU (Option B)","IUU","Indian Ocean",0,0,0,0,0,0,0,0,354891.458239475,0.02
"49","RD/TN/RL/113","Facilitator's working text - IUU","IUU","Indian Ocean",0,0,0,0,0,0,0,0,354891.458239475,0.02
"50","RD/TN/RL/89/Rev.2","IUU (Option C)","IUU","Indian Ocean",0,0,0,0,0,0,0,0,354891.458239475,0.02
"51","RD/TN/RL/81","CAP - De minimis","OFOC","Indian Ocean",0.06,0.01,-0.05,0,0.06,0.01,-0.05,0,23260815.8908933,1.1
"52","RD/TN/RL/79/Rev.1","OFOC - Negative effects (Option A)","OFOC","Indian Ocean",0,0,0,0,0,0,0,0,12551965.1920829,0.59
"53","TN/RL/GEN/199","CAP - Optional criteria","OFOC","Indian Ocean",1.05,0.19,-0.84,0.03,1.05,0.19,-0.85,0.03,253699890.816283,11.96
"54","RD/TN/RL/91","OFOC - ABNJ","OFOC","Indian Ocean",8.37,-5.47,-12.77,-0.73,8.37,-5.47,-12.77,-0.73,896239497.395251,42.26
"55","RD/TN/RL/96/Rev.1","OFOC - List approach","OFOC","Indian Ocean",1.94,-2.92,-4.77,-0.39,1.95,-2.93,-4.78,-0.39,498271428.634267,23.49
"56","TN/RL/GEN/197/Rev.2","CAP - Tiers","OFOC","Indian Ocean",3.36,0.58,-2.68,0.08,3.36,0.59,-2.69,0.08,683844773.93814,32.24
"57","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC","Indian Ocean",5.85,-0.15,-5.67,-0.02,5.85,-0.15,-5.67,-0.02,1062410787.80821,50.09
"58","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC","Indian Ocean",0,0,0,0,0,0,0,0,12551965.1920829,0.59
"59","RD/TN/RL/121","OFOC - Negative effects + ABNJ","OFOC","Indian Ocean",8.3,-5.45,-12.7,-0.73,8.3,-5.45,-12.7,-0.73,852843303.099548,40.21
"60","RD/TN/RL/124","CAP - Formula","OFOC","Indian Ocean",4.51,0.76,-3.59,0.1,4.53,0.76,-3.61,0.1,977670288.950203,46.1
"61","RD/TN/RL/124/Rev.1","CAP - Formula (revised)","OFOC","Indian Ocean",4.39,0.74,-3.49,0.1,4.4,0.74,-3.51,0.1,938070885.562264,44.23
"62","RD/TN/RL/77/Rev.2","Overfished - Negative effects (Option A)","Overfished","Indian Ocean",0,0,0,0,0,0,0,0,0,0
"63","RD/TN/RL/95","Overfished - Negative effects + rebuttable (Option B)","Overfished","Indian Ocean",0,0,0,0,0,0,0,0,0,0
"64","RD/TN/RL/119/Rev.1 | Objective definition","Facilitator's text - Overfished [Objective definition]","Overfished","Indian Ocean",0,0,0,0,0,0,0,0,12551965.1920829,0.59
"65","RD/TN/RL/119/Rev.1 | Relevant authorities","Facilitator's text - Overfished [Relevant authorities]","Overfished","Indian Ocean",0,0,0,0,0,0,0,0,0,0
"66","TN/RL/GEN/202","Disputed waters","Other & Multiple","Indian Ocean",0,0,0,0,0,0,0,0,287648.828695863,0.01
"67","RD/TN/RL/125","Comprehensive text proposal","Other & Multiple","Indian Ocean",6.4,1.02,-5.06,0.13,6.41,1.02,-5.06,0.13,1432284467.2557,67.53
"68","TN/RL/GEN/200/Rev.1","S&DT","Other & Multiple","Indian Ocean",5.97,0.07,-5.57,0.01,5.98,0.07,-5.57,0.01,1072420548.63783,50.56
"69","RD/TN/RL/126/Rev.2 | Objective definition","Chair's text - Consolidated text (Dec 2020) [Objective definition]","Other & Multiple","Indian Ocean",8.15,-6.19,-13.26,-0.83,8.16,-6.18,-13.26,-0.83,847902669.138159,39.98
"70","RD/TN/RL/126/Rev.2 | Relevant authorities","Chair's text - Consolidated text (Dec 2020) [Relevant authorities]","Other & Multiple","Indian Ocean",8.15,-6.19,-13.26,-0.83,8.16,-6.18,-13.26,-0.83,835502790.903166,39.39
"71","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Optional criteria]","Other & Multiple","Indian Ocean",3.71,0.64,-2.96,0.08,3.74,0.64,-2.98,0.08,901762691.212492,42.52
"72","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Optional criteria]","Other & Multiple","Indian Ocean",3.71,0.64,-2.96,0.08,3.73,0.64,-2.98,0.08,889364414.313437,41.93
"73","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Tiers]","Other & Multiple","Indian Ocean",4.98,0.83,-3.96,0.11,5,0.83,-3.97,0.11,1103624052.859,52.03
"74","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers]","Other & Multiple","Indian Ocean",4.98,0.83,-3.96,0.11,5,0.83,-3.97,0.11,1093063162.80623,51.54
"75","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - De minimis]","Other & Multiple","Indian Ocean",3.47,0.6,-2.78,0.08,3.5,0.61,-2.79,0.08,850036629.635937,40.08
"76","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis]","Other & Multiple","Indian Ocean",3.47,0.6,-2.78,0.08,3.5,0.6,-2.79,0.08,837636751.400944,39.49
"77","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Formula]","Other & Multiple","Indian Ocean",5.71,0.93,-4.52,0.12,5.74,0.93,-4.54,0.12,1284146452.43962,60.55
"78","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Formula]","Other & Multiple","Indian Ocean",5.71,0.93,-4.52,0.12,5.74,0.93,-4.54,0.12,1281642200.82592,60.43
"79","RD/TN/RL/136","Artisanal - Exemption","Other & Multiple","Indian Ocean",8.15,-6.19,-13.26,-0.83,8.16,-6.18,-13.26,-0.83,835502790.903166,39.39
"80","TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries","Chair's text - June 2021 [Full exemption + S&DT for all developing countries]","Other & Multiple","Indian Ocean",0.2,0.04,-0.16,0,0.21,0.04,-0.17,0.01,82132588.5905872,3.87
"81","TN/RL/W/276/Rev.1 | Full exemption","Chair's text - June 2021 [Full exemption]","Other & Multiple","Indian Ocean",8.15,-6.19,-13.26,-0.83,8.16,-6.18,-13.26,-0.83,835502790.903166,39.39
"82","TN/RL/W/276/Rev.1 | Managed exemption","Chair's text - June 2021 [Managed exemption]","Other & Multiple","Indian Ocean",5.97,0.07,-5.57,0.01,5.98,0.07,-5.57,0.01,1055611525.62147,49.77
"83","TN/RL/W/276/Rev.1 | Sustainability scenario","Chair's text - June 2021 [Sustainability scenario]","Other & Multiple","Indian Ocean",5.4,0.89,-4.28,0.12,5.43,0.89,-4.3,0.12,1216442118.62047,57.35
"84","WT/MIN(21)/W/5 | Full exemption","Chair's text - Nov 2021 [Full exemption]","Other & Multiple","Indian Ocean",0,0,0,0,0,0,0,0,354891.458239475,0.02
"85","WT/MIN(21)/W/5 | Managed exemption","Chair's text - Nov 2021 [Managed exemption]","Other & Multiple","Indian Ocean",3.38,-9.93,-12.87,-1.35,3.37,-9.93,-12.87,-1.36,769907590.958482,36.3
"86","WT/MIN(21)/W/5 | Sustainability scenario","Chair's text - Nov 2021 [Sustainability scenario]","Other & Multiple","Indian Ocean",5.4,0.89,-4.28,0.12,5.43,0.89,-4.3,0.12,1216442118.62047,57.35
"87","WT/MIN(21)/W/5 | Full exemption for domestic only","Chair's text - Nov 2021 [Full exemption for domestic only]","Other & Multiple","Indian Ocean",8.29,-9.09,-16.05,-1.24,8.31,-9.07,-16.05,-1.23,791832803.122285,37.33
"88","WT/MIN(21)/W/5 | Managed exemption for domestic only","Chair's text - Nov 2021 [Managed exemption for domestic only]","Other & Multiple","Indian Ocean",3.38,-9.96,-12.91,-1.36,3.38,-9.99,-12.94,-1.36,966985349.377506,45.59
"89","WT/MIN(22)/W/20","Chair's text - June 2022","Other & Multiple","Indian Ocean",3.38,-9.96,-12.91,-1.36,3.38,-9.99,-12.94,-1.36,966985349.377506,45.59
"90","WT/MIN(22)/W/22","Final Fisheries Subsidies Agreement","Other & Multiple","Indian Ocean",8.3,-5.45,-12.7,-0.73,8.3,-5.45,-12.7,-0.73,840442488.318413,39.63
"91","Ambitious Reform","All subsidies","Ambitious Reform","Pacific Ocean",19.26,6.65,-10.58,0.84,19.26,6.65,-10.58,0.84,12928479249.6677,74.27
"92","RD/TN/RL/87","IUU (Option A)","IUU","Pacific Ocean",0,0,0,0,0,0,0,0,3515044.71125154,0.02
"93","RD/TN/RL/104","IUU (Option B)","IUU","Pacific Ocean",0,0,0,0,0,0,0,0,3515044.71125154,0.02
"94","RD/TN/RL/113","Facilitator's working text - IUU","IUU","Pacific Ocean",0,0,0,0,0,0,0,0,3515044.71125154,0.02
"95","RD/TN/RL/89/Rev.2","IUU (Option C)","IUU","Pacific Ocean",0,0,0,0,0,0,0,0,3515044.71125154,0.02
"96","RD/TN/RL/81","CAP - De minimis","OFOC","Pacific Ocean",0.48,0.19,-0.28,0.03,0.48,0.19,-0.28,0.03,437659735.586582,2.51
