Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2070,biomass,Total,atlantic,121191673.50610736,126333939.10193892,0.04243084897719824,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2071,biomass,Total,atlantic,121191669.86657995,126333946.14904466,0.0424309384310477,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2072,biomass,Total,atlantic,121191666.97380829,126333950.25935805,0.042430997229051234,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2073,biomass,Total,atlantic,121191664.6659905,126333952.20487133,0.042431033132956736,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2074,biomass,Total,atlantic,121191662.81702569,126333952.57938468,0.04243105212709876,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2075,biomass,Total,atlantic,121191661.32865654,126333951.837455,0.04243105880736481,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2076,biomass,Total,atlantic,121191660.12431592,126333950.32505904,0.042431056687137286,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2077,biomass,Total,atlantic,121191659.14431636,126333948.3037065,0.04243104843763746,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2078,biomass,Total,atlantic,121191658.34209621,126333945.96937844,0.042431036076482555,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2079,biomass,Total,atlantic,121191657.68129458,126333943.46738139,0.04243102111541216,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2080,biomass,Total,atlantic,121191657.13347508,126333940.9039797,0.04243100467585109,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2019,price,Total,atlantic,1350.1688088039184,1350.1688088039184,0,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2020,price,Total,atlantic,1330.0261372897337,1344.4360866518537,0.010834335475153814,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2021,price,Total,atlantic,1315.5063970588083,1337.7145000903188,0.016881790222505265,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2022,price,Total,atlantic,1305.0641083097948,1331.0763948973702,0.019931807504279742,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2023,price,Total,atlantic,1297.5757691317099,1325.0228809923117,0.021152608204889962,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2024,price,Total,atlantic,1292.224330645483,1319.7447615627907,0.021296945324935132,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2025,price,Total,atlantic,1288.415697218823,1315.2700169078128,0.020842900119082363,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2026,price,Total,atlantic,1285.7181791838084,1311.5466600951424,0.020088757652730965,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2027,price,Total,atlantic,1283.8184676023197,1308.488595321837,0.01921621190384619,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2028,price,Total,atlantic,1282.4895525936324,1306.0002908658957,0.018332109002148652,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2029,price,Total,atlantic,1281.5673084700893,1303.989384869613,0.017495824254670517,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2030,price,Total,atlantic,1280.9333882821104,1302.3725038872803,0.016737104209550227,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2031,price,Total,atlantic,1280.502723412004,1301.0773519255,0.01606761792639787,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2032,price,Total,atlantic,1280.2143905647815,1300.0428325965236,0.01548837614846252,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2033,price,Total,atlantic,1280.024944070167,1299.2182095901103,0.014994446482357853,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2034,price,Total,atlantic,1279.9035540495959,1298.5618677184652,0.014577905975676637,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2035,price,Total,atlantic,1279.8284673283622,1298.0399787968233,0.014229650248738108,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2036,price,Total,atlantic,1279.7844366489867,1297.6252277331373,0.013940465732545796,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
